Day,Total
1,4745.181
10,3560.949
11,2114.9625
12,5184.7635
13,2451.204
14,3966.6165
15,5944.26
16,4289.082
17,3142.755
18,2780.4735
19,4914.7245
2,1945.503
20,3655.449
21,2392.0995
22,1704.7695
23,5994.1875
24,5402.0505
25,4700.367
26,4457.5125
27,4635.897
28,4999.7115
29,3516.5655
30,2558.262
31,5232.4965
4,1623.6885
5,3536.6835
6,3614.205
7,2834.244
8,5293.7325
9,3021.3435
1,2444.5365
10,3141.0225
11,4542.153
12,2998.989
13,934.2375
14,2454.0915
15,6830.7855
16,2503.767
17,5299.5705
18,1496.0295
19,4228.119
2,4140.948
20,2706.417
21,1393.7385
22,2442.3105
23,2339.589
24,2722.461
25,4807.236
26,2408.1645
27,5859.4515
28,2097.018
3,5467.9275
4,2439.4965
5,3031.1295
6,2905.4235
7,7228.2105
8,5084.6565
9,3271.8945
1,2634.366
10,3163.23
11,2961.252
12,3677.5515
13,2063.607
14,7214.634
15,2942.415
16,3154.473
17,1976.289
18,1292.8335
19,5740.392
2,6560.3055
20,5458.2045
21,1877.5155
22,3179.148
23,4095.042
24,3477.4635
25,2272.9665
26,1962.513
27,2902.8195
28,2229.402
29,4023.243
3,4853.1735
30,4487.0595
4,3894.4395
5,6230.8785
6,3092.5965
7,1438.2585
8,3125.388
9,7474.047
